relative_unix	hashed_host_path_query	response_size	time_firstbyte
3133	484241954	62848	2.03E-4
3133	-627136473	22001	2.0E-4
3133	993117742	7789	2.36E-4
3133	-1409937167	44865	2.07E-4
3133	-39531292	67555	1.93E-4
3133	-701776213	31087	1.71E-4
3133	-412389827	14792	0.201954
3133	1748314886	48320	1.86E-4
3134	-1644527628	25461	1.9E-4
3134	364089603	265849	1.9E-4
3134	-1876513521	87911	1.94E-4
3134	-230669504	23919	2.17E-4
3134	-1043254994	14237	1.78E-4
3134	200418357	79390	1.92E-4
3134	1023928853	6712	0.280652
3134	745438791	9138	2.33E-4
3134	1707575607	69801	0.282183
3134	699693383	14265	0.198694
3134	-1745440066	23041	1.86E-4
3134	-1118902912	14008	0.542642
3134	-2067050727	14834	1.87E-4
3134	1420214043	14229	1.77E-4
3134	870518134	21633	1.94E-4
3134	-1244230757	19650	1.69E-4
3134	-807225082	59310	2.19E-4
3134	273721114	21981	1.99E-4
3134	402741893	13346	2.01E-4
3134	-1018005289	14044	2.75E-4
3134	-1155963339	225346	1.85E-4
3134	-1859892085	37690	1.84E-4
3134	2021501982	11710	0.32626
3134	2103913240	25119	1.85E-4
3134	967052489	11461	2.73E-4
3134	-117661921	32021	0.317579
3134	1338242505	56336	2.76E-4
3134	-863776622	12596	0.184014
3134	1524946222	45007	2.03E-4
3134	-409674322	115520	1.67E-4
3134	994793875	13066	2.78E-4
3134	-187028656	37110	2.18E-4
3134	1417281102	83035	1.85E-4
3134	-1185167370	21037	1.9E-4
3134	-672834486	29278	2.11E-4
3134	-2147244206	15855	2.13E-4
3134	653126185	18066	1.9E-4
3134	-14832607	97022	2.01E-4
3134	1134171909	30965	1.83E-4
3134	-1322919794	94802	1.72E-4
3134	-342327988	71212	2.0E-4
3134	708260687	18225	1.79E-4
3134	993117742	7789	1.84E-4
3134	-2123603078	44472	1.96E-4
3134	2039458021	12239	0.303996
3134	-346203725	25979	1.86E-4
3134	111448525	32190	2.1E-4
3134	-1440392992	8914	1.88E-4
3134	-1202133116	42119	1.95E-4
3134	1613914017	106150	1.91E-4
3134	797238101	13444	2.06E-4
3134	-2015316039	14051	1.88E-4
3134	-1015624565	69582	0.256497
3134	5424782	24757	0.266448
3134	1291080672	13120	2.01E-4
3134	2106855235	18459	3.31E-4
3134	2039458021	12239	0.444108
3134	-63470905	67770	1.92E-4
3134	1994091301	21465	2.71E-4
3134	-1607305027	33499	3.21E-4
3134	-243299468	24771	2.77E-4
3134	1435326106	22722	1.76E-4
3134	347586424	27462	2.3E-4
3134	-532108198	70565	1.9E-4
3134	-759331941	17002	3.8E-4
3134	-1664832440	29728	1.88E-4
3134	-24031071	33823	0.241939
3134	-1991895767	36300	2.04E-4
3134	2086940422	10701	2.44E-4
3134	-638968566	29677	2.5E-4
3134	-756017013	28313	2.07E-4
3134	-1598684002	28719	1.88E-4
3134	88965144	41118	1.83E-4
3134	1571336675	48600	1.86E-4
3134	1096575353	24262	2.29E-4
3134	983688553	15022	2.02E-4
3134	-731667541	12116	2.6E-4
3134	121859315	91382	2.04E-4
3134	1336685556	27896	2.84E-4
3134	-1963213814	47906	1.83E-4
3134	812767769	8990	0.301674
3134	487752982	26358	1.87E-4
3134	-577416291	51659	1.84E-4
3134	-389089153	12397	0.189258
3134	-1294372334	43903	0.363934
3134	1690332199	12387	3.13E-4
3134	1722323939	11768	1.84E-4
3134	-1500752797	25765	2.49E-4
3134	-268851377	49812	3.68E-4
3134	-290857878	44395	1.88E-4
3134	1630024536	7385	1.8E-4
3134	-1139373690	32948	2.36E-4
3134	344224490	16519	1.88E-4
3135	-1432171930	13720	2.05E-4
3135	-2020361126	17146	1.84E-4
3135	137214307	43761	1.95E-4
3135	1946367421	16052	1.96E-4
3135	-311572353	47578	1.9E-4
3135	-1057884465	17040	1.77E-4
3135	1319469310	17773	1.76E-4
3135	-1698429574	9241	1.78E-4
3135	140895042	41993	0.262863
3135	-1888525124	14745	2.99E-4
3135	1721529525	61843	2.41E-4
3135	-377723402	45480	1.91E-4
3135	1042744201	27075	2.4E-4
3135	833516850	60188	1.8E-4
3135	519127269	45376	1.84E-4
3135	-1671912909	37863	0.28544
3135	-891412223	15764	1.91E-4
3135	-1930746239	15921	2.03E-4
3135	1997762516	21826	1.92E-4
3135	1090436399	53287	2.25E-4
3135	1107956071	74193	1.91E-4
3135	-845374025	17927	1.85E-4
3135	-465061395	31465	2.51E-4
3135	384254265	18284	3.2E-4
3135	996387139	69489	2.38E-4
3135	-693369028	18457	0.358382
3135	-1566686705	14011	2.92E-4
3135	-2057780496	27681	2.0E-4
3135	1307207303	17542	2.02E-4
3135	-1051125562	57586	2.89E-4
3135	583592621	11550	2.33E-4
3135	1667339112	23402	2.92E-4
3135	676171071	26108	2.01E-4
3135	1276336463	13976	2.4E-4
3135	-426395006	11873	2.14E-4
3135	-127378578	14160	1.9E-4
3135	1361330899	233538	2.01E-4
3135	-856336270	14895	1.86E-4
3135	-623086636	22194	1.97E-4
3135	654810665	21555	0.242293
3135	311017625	10344	2.22E-4
3135	147510313	99338	3.08E-4
3135	-259713231	173912	2.56E-4
3135	-2010034445	7297	0.00292
3135	1080373408	14620	2.27E-4
3135	-945004735	14862	2.63E-4
3135	65568941	73420	2.12E-4
3135	-306727035	36031	1.97E-4
3135	-2073489456	39709	2.08E-4
3135	-923497007	20880	1.99E-4
3135	-1222624389	21985	1.83E-4
3135	-440146012	45349	2.73E-4
3135	1652410857	36360	2.05E-4
3135	457372397	32430	1.9E-4
3135	-995530716	29648	2.78E-4
3135	-1711441707	10583	1.79E-4
3135	-2010034445	7297	0.010268
3135	1920107773	12081	0.265275
3135	497207529	65018	1.89E-4
3135	1100414792	8909	0.227051
3135	1167146294	28995	0.265498
3135	2117423734	11511	0.009417
3135	-125531168	42902	2.01E-4
3135	43233606	107544	1.96E-4
3135	-2048662598	11469	1.99E-4
3135	-71781889	8867	2.11E-4
3135	349918439	9250	1.71E-4
3135	513305857	24960	2.06E-4
3135	-1049408737	23569	2.15E-4
3135	-182097280	30830	1.68E-4
3135	-797996703	43554	1.68E-4
3135	245457776	23158	2.9E-4
3135	294220003	31131	1.85E-4
3135	2120360347	30946	3.05E-4
3135	979296388	26375	2.06E-4
3135	1014326931	9798	2.02E-4
3135	-1827344369	12590	1.75E-4
3135	265107029	7054	0.351521
3135	-846723739	11496	0.299989
3135	-1885142732	32209	1.67E-4
3135	-1830650930	14070	2.2E-4
3135	298029698	25437	1.98E-4
3135	-485010916	16012	2.49E-4
3135	727323865	27566	2.71E-4
3135	868622601	66140	2.49E-4
3135	391568091	15739	2.5E-4
3135	-920913583	14139	1.76E-4
3135	-1274724829	12419	0.209728
3135	-846150922	35810	1.74E-4
3136	1144299560	31797	2.49E-4
3136	1276336463	13976	1.8E-4
3136	-1077093783	24047	3.12E-4
3136	-711563893	9700	0.268657
3136	1921479955	41313	2.68E-4
3136	-1074448122	52546	1.99E-4
3136	-2057780496	27681	2.14E-4
3136	543575434	10095	1.76E-4
3136	1260813673	22880	1.8E-4
3136	-2090219435	14689	2.76E-4
3136	218847944	28739	0.253618
3136	403918373	17827	2.78E-4
3136	1457918183	37401	0.351126
3136	1014531978	27172	2.93E-4
3136	-1263594878	78180	2.82E-4
3136	-1536715527	37315	0.379629
3136	2073168504	19702	1.66E-4
3136	1151990943	74153	2.07E-4
3136	-1509422881	34262	1.93E-4
3136	1077252856	15267	2.47E-4
3136	-777753119	13429	0.012987
3136	-788434579	19325	3.1E-4
3136	-1231989292	13317	1.86E-4
3136	-1919836850	31844	1.85E-4
3136	-1425774415	18704	0.20583
3136	-1481626910	9094	1.97E-4
3136	228812029	18479	2.24E-4
3136	-2062927182	12631	0.009548
3136	-1515841539	23340	1.89E-4
3136	2070110877	21433	1.91E-4
3136	549380555	14260	2.6E-4
3136	1754472632	26109	2.38E-4
3136	1780174003	9758	0.309712
3136	1756230474	21967	1.97E-4
3136	-1925193118	44643	1.94E-4
3136	58700502	17584	2.04E-4
3136	1251038953	17418	2.05E-4
3136	1419407899	12999	0.295706
3136	423744853	13023	1.69E-4
3136	-1015193441	19363	2.57E-4
3136	-1475662560	44267	2.24E-4
3136	1550062295	40041	1.99E-4
3136	-1474350465	12771	2.5E-4
3136	1657059433	37121	2.0E-4
3136	-59807357	26612	2.09E-4
3136	2104347012	28111	1.92E-4
3136	-1283159392	13834	1.7E-4
3136	-849758943	38707	0.252326
3136	-375583481	13125	1.92E-4
3136	1840473280	58999	2.31E-4
3136	-1105305297	124003	1.75E-4
3136	2002544506	13616	1.73E-4
3136	378094966	42150	1.9E-4
3136	-1223244263	61065	0.2302
3136	1759491601	23818	2.07E-4
3136	-1157415921	30664	2.79E-4
3136	-687864066	12507	3.06E-4
3136	193253731	108191	1.73E-4
3136	-1737467617	67970	2.16E-4
3136	1761014345	20147	0.265679
3136	1328166765	10955	2.3E-4
3136	-1316681750	34325	1.92E-4
3136	-2043579472	28717	2.02E-4
3136	993117742	7789	2.28E-4
3136	-708850369	15095	1.77E-4
3136	-701556119	52453	1.87E-4
3136	-844817595	49466	1.92E-4
3136	-1565975690	33278	1.82E-4
3136	-746245288	29614	2.39E-4
3136	693725468	39897	2.02E-4
3136	-1508325734	14159	0.18225
3136	1889719311	29835	1.95E-4
3136	-1756567816	14492	0.340884
3136	-1193923770	11618	1.85E-4
3136	824599971	27940	2.03E-4
3136	-1563383082	18217	1.88E-4
3136	429308237	19310	2.03E-4
3136	1223608801	30281	2.25E-4
3136	-1936834179	15165	1.76E-4
3136	-1540158242	8860	1.89E-4
3136	2026744845	12285	0.282852
3136	-1326088400	12591	1.99E-4
3136	638275940	9954	1.95E-4
3136	234581629	110822	2.36E-4
3136	1538595215	25029	0.412212
3136	2037249558	24674	1.88E-4
3136	-810655785	25225	2.75E-4
3136	-1152156522	43055	1.99E-4
3136	1112007776	23588	1.7E-4
3136	1255585	21814	2.1E-4
3136	-419755068	16446	1.75E-4
3136	37783064	12055	0.294681
3136	1842717904	13701	2.76E-4
3136	-2124855576	13796	1.81E-4
3136	340824895	13710	1.95E-4
3136	-1860406289	27348	1.82E-4
3136	-240327756	12801	1.9E-4
3136	1299505724	48660	1.76E-4
3136	883718097	22207	1.81E-4
3136	1932401137	13001	1.85E-4
3137	-701913351	18937	1.84E-4
3137	-879413844	54498	2.96E-4
3137	583537536	20922	2.09E-4
3137	-1165847803	12438	2.53E-4
3137	931115547	37667	2.88E-4
3137	-718733902	28281	2.06E-4
3137	1301567378	19036	1.82E-4
3137	-1316681750	34326	2.02E-4
3137	697901535	29751	1.76E-4
3137	177129535	34216	0.236591
3137	782042849	9700	0.222958
3137	-1533367901	10132	0.23251
3137	-1600884283	8989	2.76E-4
3137	-1282013552	48351	2.69E-4
3137	1429015738	70821	0.357883
3137	2028971487	14926	2.8E-4
3137	-1122505038	62938	1.92E-4
3137	-269805894	34401	1.96E-4
3137	1987412071	13524	2.54E-4
3137	-1326541064	45627	2.9E-4
3137	255593171	28601	1.78E-4
3137	-6193577	22781	2.01E-4
3137	964998818	11937	0.220697
3137	-316809337	20539	1.87E-4
3137	-1830767790	24785	2.49E-4
3137	-1284776249	6691	0.536526
3137	344951454	30997	0.504343
3137	1102802292	11571	0.279738
3137	-909374992	8029	1.89E-4
3137	277844537	24191	2.59E-4
3137	-1177656875	26556	0.568592
3137	-1186759219	23197	1.96E-4
3137	-758988079	71336	1.93E-4
3137	696288459	36820	1.91E-4
3137	1714090777	8300	2.58E-4
3137	1471440851	72669	2.04E-4
3137	402202318	13798	2.15E-4
3137	468398324	28339	2.57E-4
3137	-72005106	18757	2.0E-4
3137	-1141206986	11484	0.203207
3137	1164496443	108612	1.86E-4
3137	313894578	27122	2.55E-4
3137	-1520736895	41912	1.77E-4
3137	579014990	8603	1.68E-4
3137	-538762375	42680	1.8E-4
3137	4581535	10477	1.82E-4
3137	1805709487	7141	0.25028
3137	1317947265	17243	0.408313
3137	2138089502	15886	1.97E-4
3137	969242682	16200	2.62E-4
3137	328572898	18449	1.77E-4
3137	2081735812	17606	1.96E-4
3137	-438081476	22946	2.88E-4
3137	574422778	6749	2.01E-4
3137	246554534	8036	2.98E-4
3137	-1998550268	12166	0.339532
3137	1826194377	14891	0.313126
3137	-166803914	15768	1.78E-4
3137	-1162593571	16253	1.95E-4
3137	-2100962094	17935	1.9E-4
3137	-300301391	73395	1.99E-4
3137	-1882825349	19284	2.22E-4
3137	-684071897	14474	2.64E-4
3137	-1234809211	154435	1.9E-4
3137	-478113829	10184	1.84E-4
3137	-1594327505	9696	2.65E-4
3137	-35962576	25523	1.98E-4
3137	1599689259	17814	2.06E-4
3137	-1420010682	14067	2.1E-4
3137	760957422	20914	2.01E-4
3137	701635153	145809	3.11E-4
3137	-2061744116	29135	0.200109
3137	-471320364	27283	1.88E-4
3137	-935072504	41500	1.74E-4
3137	-1765612852	29222	0.226229
3137	788612304	25801	2.81E-4
3137	307321254	20030	1.91E-4
3137	1929478534	158828	1.95E-4
3137	-1527359793	30797	1.79E-4
3137	-1345648436	13161	1.8E-4
3137	-1316681750	34325	1.91E-4
3137	-1422119386	11704	1.77E-4
3137	372805726	40303	1.83E-4
3137	1997505737	26867	2.63E-4
3137	-1477222621	126173	1.96E-4
3137	-140207656	100802	1.83E-4
3137	-1508983299	20104	1.75E-4
3137	1421632505	9149	1.83E-4
3137	839505761	30236	0.477908
3137	1658490268	29522	3.37E-4
3137	1488723797	53473	1.92E-4
3137	1378199115	11811	0.299575
3137	1891013	9978	1.7E-4
3137	-596818821	15614	2.66E-4
3137	1075011830	63542	0.351585
3137	-532063382	79705	2.03E-4
3137	-1882038779	10386	0.25294
3137	-1991143516	15382	2.52E-4
3137	95856038	13165	3.74E-4
3137	454891675	23009	2.68E-4
3138	993117742	7789	2.11E-4
3138	151496530	19970	1.92E-4
3138	-559219150	59747	2.03E-4
3138	-1876698972	198751	1.83E-4
3138	-2081759165	16465	2.03E-4
3138	1334193835	21551	1.77E-4
3138	429844328	25999	0.360458
3138	793839295	26512	2.11E-4
3138	-865769560	50125	2.02E-4
3138	584665036	29148	1.79E-4
3138	-892618108	225670	1.88E-4
3138	1363442063	12544	1.79E-4
3138	583474024	18764	1.87E-4
3138	140700395	33910	2.33E-4
3138	-887948948	12254	1.95E-4
3138	-1452671589	53331	2.61E-4
3138	-1028272109	22039	1.89E-4
3138	1563425603	8515	2.13E-4
3138	-1508554791	44014	2.0E-4
3138	120415873	70403	3.02E-4
3138	1995539582	29540	1.94E-4
3138	-659950142	8331	0.274244
3138	656734073	21000	1.8E-4
3138	-498745495	13170	1.79E-4
3138	1802950290	9611	1.91E-4
3138	-1325899193	23738	2.01E-4
3138	-403423211	33599	2.85E-4
3138	1748467793	18729	1.92E-4
3138	-1620848851	10049	1.93E-4
3138	-570511559	33653	1.95E-4
3138	2073152028	21539	0.262933
3138	1908101537	34049	1.78E-4
3138	2110638515	56848	1.74E-4
3138	993117742	7789	1.91E-4
3138	2050899539	101542	1.9E-4
3138	1947448168	35673	2.23E-4
3138	1662781062	52238	0.156163
3138	-1278171882	20088	2.89E-4
3138	2030165019	10020	2.06E-4
3138	391765129	42592	1.91E-4
3138	-1350848499	89089	1.9E-4
3138	-1359589239	30557	1.75E-4
3138	-852320407	26232	2.88E-4
3138	-2139483917	18468	1.8E-4
3138	-573848594	22610	1.72E-4
3138	689303265	1930	0.310685
3138	1027221770	14379	2.21E-4
3138	1495776792	22989	2.87E-4
3138	-1042427690	78867	0.327795
3138	81486627	115539	1.92E-4
3138	-1475012647	29326	1.93E-4
3138	694901445	13465	1.8E-4
3138	-929084533	99890	0.250203
3138	-1687892198	10437	0.344227
3138	571213220	81505	1.81E-4
3138	511770406	62278	1.78E-4
3138	927658140	51246	2.84E-4
3138	20863700	15619	2.68E-4
3138	1772375101	24510	0.287983
3138	-189970056	6927	0.243993
3138	1951017921	23865	1.97E-4
3138	1585856203	14876	1.9E-4
3138	61690194	18389	1.81E-4
3138	-53320780	65742	1.83E-4
3138	-2113592661	57296	2.35E-4
3138	353283738	34071	2.11E-4
3138	-1944209232	9848	3.42E-4
3138	1680276526	15134	1.99E-4
3138	81486627	115541	2.01E-4
3138	1643219899	20378	3.14E-4
3138	-196885835	30290	1.89E-4
3138	-873035485	74563	1.97E-4
3138	1664377601	16107	0.263709
3138	-2098828518	31381	2.68E-4
3138	167592200	38667	2.62E-4
3138	-1150040786	129789	1.88E-4
3138	948193511	40099	2.31E-4
3138	-137893973	12592	1.97E-4
3138	-1043751159	15795	1.87E-4
3138	1851712259	69676	1.83E-4
3138	1621696817	75920	1.8E-4
3138	1026477425	8410	1.8E-4
3138	72685400	24981	1.9E-4
3138	919220593	17419	1.98E-4
3138	1139153008	16088	2.13E-4
3138	790147011	69599	2.19E-4
3138	-1167094667	219398	1.83E-4
3138	-1350848499	20818	2.16E-4
3138	-1965232935	35040	2.54E-4
3138	-812591811	46939	1.84E-4
3138	-2047256618	25626	1.85E-4
3138	1788096580	24979	1.93E-4
3138	-1767141002	14449	2.83E-4
3138	700150323	45379	2.4E-4
3138	-1469932004	94813	1.87E-4
3138	523351524	55405	1.84E-4
3138	-311938675	73744	1.93E-4
3138	-342327988	71981	0.396147
3138	-170934610	16814	2.8E-4
3138	-317815094	22030	2.63E-4
3138	-1492703595	101983	2.26E-4
3138	544140335	13120	2.55E-4
3138	-1390944500	10161	0.324107
3138	-1154472652	31018	1.8E-4
3138	512606986	21754	1.79E-4
3138	352233458	18255	1.68E-4
3139	-1597129469	15174	1.91E-4
3139	1661000336	23523	2.4E-4
3139	-944452514	42007	1.87E-4
3139	1223460251	20189	2.4E-4
3139	1857581241	33774	2.63E-4
3139	-1813975294	40158	1.84E-4
3139	545955608	10624	1.87E-4
3139	-432146533	19650	3.21E-4
3139	2145186869	23599	2.08E-4
3139	1703249235	11000	1.97E-4
3139	-2124279978	18417	2.32E-4
3139	754614066	24923	2.0E-4
3139	1761117033	8296	1.79E-4
3139	508862703	24461	1.75E-4
3139	-1581843250	49405	0.394255
3139	1679861369	13531	1.73E-4
3139	2033321167	7447	2.4E-4
3139	1943659419	20183	1.9E-4
3139	2057395360	79190	1.93E-4
3139	1292292881	11702	3.23E-4
3139	424550160	6873	2.82E-4
3139	1206454648	50501	3.54E-4
3139	-1596267350	17445	2.0E-4
3139	-278383533	10540	2.72E-4
3139	-958507406	23220	2.67E-4
3139	-1927391488	11585	0.309114
3139	-1974660970	45891	1.98E-4
3139	-604448090	16122	1.81E-4
3139	-4633634	13272	1.74E-4
3139	-509068708	11352	0.208031
3139	744107097	32899	0.205011
3139	-1046895141	71512	3.555504
3139	2142921651	22112	0.276569
3139	-2040402466	19787	2.26E-4
3139	1472904809	12431	2.2E-4
3139	-512966665	15820	3.1E-4
3139	-1400560952	24354	1.99E-4
3139	768991740	32462	2.11E-4
3139	-915590247	132196	2.02E-4
3139	1094004889	15347	2.56E-4
3139	1513351787	43730	1.9E-4
3139	-1169286424	21382	1.84E-4
3139	1867303901	30868	0.250412
3139	1869667386	27878	1.81E-4
3139	-544486217	17605	1.85E-4
3139	-2076467146	63879	2.63E-4
3139	958871322	42880	2.04E-4
3139	756194363	34777	1.96E-4
3139	-1346915855	38282	2.05E-4
3139	-320767103	6895	0.335753
3139	1122458820	18787	0.326339
3139	2145920842	13828	2.56E-4
3139	1540590141	43309	1.84E-4
3139	-1430331589	13318	0.012259
3139	-1492703595	101983	2.04E-4
3139	-1819894497	10701	1.96E-4
3139	2058392894	10556	1.79E-4
3139	-54358281	102724	2.15E-4
3139	837805047	39817	1.77E-4
3139	1345558892	27409	1.89E-4
3139	-797996703	43554	2.7E-4
3139	-482483850	70360	2.7E-4
3139	972325897	57654	1.81E-4
3139	-1886155454	25658	2.6E-4
3139	-1540276829	18982	2.48E-4
3139	-1152957378	18211	2.05E-4
3139	192057584	10445	2.89E-4
3139	1630417746	36030	1.95E-4
3139	-421838476	40299	1.93E-4
3139	-1167831196	78853	2.01E-4
3139	-759074004	15339	1.8E-4
3139	2017480939	16058	1.7E-4
3139	1743274791	9943	1.93E-4
3139	993117742	7789	1.66E-4
3139	-709410844	24715	2.74E-4
3139	-968853236	22691	1.74E-4
3139	-1167831196	78854	1.92E-4
3139	-1829141740	71037	2.04E-4
3139	-1153536738	88266	2.07E-4
3139	675853553	11470	2.16E-4
3139	693725468	39897	1.94E-4
3139	1016562533	9675	1.87E-4
3139	-1927391488	11585	0.309531
3139	-922887915	9925	2.97E-4
3139	693158784	45930	2.11E-4
3139	-487852312	41768	2.22E-4
3139	-1694791796	25877	2.04E-4
3139	-2059896940	13624	1.7E-4
3139	1261926730	18223	2.31E-4
3139	-376998617	13530	1.87E-4
3139	-564638246	11504	2.77E-4
3139	-1129207190	110406	1.96E-4
3139	1732865243	22620	2.37E-4
3139	2033222580	37668	1.97E-4
3139	891733478	19453	2.33E-4
3139	489279592	13125	1.87E-4
3139	1090018540	60398	1.92E-4
3139	815552414	31783	2.59E-4
3139	-1350848499	20818	1.9E-4
3139	1674311553	86775	1.9E-4
3139	239635443	30948	2.71E-4
3139	-567244228	59457	1.81E-4
3139	-1484484829	66316	1.82E-4
3139	-1164391173	36354	1.91E-4
3139	1545849859	59152	0.305114
3139	1338547755	25054	2.01E-4
3139	663386826	117883	1.77E-4
3139	1073663350	191558	1.98E-4
3139	383383361	15516	2.06E-4
3139	387759432	80146	1.79E-4
3140	1475139707	32266	2.13E-4
3140	204723125	14847	2.21E-4
3140	-659996706	13616	2.44E-4
3140	265440646	25278	1.87E-4
3140	-685358870	9496	1.82E-4
3140	-934006514	44186	1.81E-4
3140	1262729848	13817	2.18E-4
3140	2094992307	17453	0.26704
3140	-344071486	9023	2.63E-4
3140	441329399	32682	1.94E-4
3140	1020997368	136805	2.25E-4
3140	1635099190	10930	2.88E-4
3140	-1316681750	34325	1.78E-4
3140	1650699664	84706	1.88E-4
3140	-1053778062	25385	0.243443
3140	-649369441	160187	1.83E-4
3140	2141640214	17881	1.96E-4
3140	1798285157	11986	2.64E-4
3140	2026623179	11478	1.99E-4
3140	311086437	13433	2.78E-4
3140	-278383533	10540	2.63E-4
3140	1432835843	15356	2.05E-4
3140	-1702166256	33689	1.89E-4
3140	2091539744	30164	2.11E-4
3140	-1208054435	47606	2.01E-4
3140	-830909032	112408	1.76E-4
3140	-1015078277	38384	2.06E-4
3140	-2021824048	42550	0.21806
3140	-1051546395	10765	2.0E-4
3140	169412061	83006	2.65E-4
3140	-1334598450	10871	1.91E-4
3140	1078253846	306812	2.55E-4
3140	17206924	40169	3.14E-4
3140	-1751917914	231370	1.68E-4
3140	1682863038	23723	2.65E-4
3140	644373007	20277	1.96E-4
3140	-892754998	15834	0.018567
3140	-1756528096	50963	1.93E-4
3140	-244429218	27407	2.18E-4
3140	-1547041983	88096	1.76E-4
3140	-807875317	28448	2.41E-4
3140	809933016	28236	2.45E-4
3140	-258434316	83244	0.470623
3140	1900974585	22439	1.86E-4
3140	1597720953	24465	1.69E-4
3140	528569100	15755	2.75E-4
3140	1981723402	41977	1.8E-4
3140	1455697608	9500	1.77E-4
3140	1342519754	20971	0.235137
3140	65393761	12995	1.83E-4
3140	-1672366732	41342	1.7E-4
3140	-1916998841	16999	2.03E-4
3140	-1863810966	33669	0.453739
3140	-2031184066	176248	2.42E-4
3140	-106779441	38931	1.9E-4
3140	-793779000	15844	1.79E-4
3140	503616264	22170	3.08E-4
3140	799897635	73690	0.286707
3140	-1150010995	51832	2.12E-4
3140	-831271691	10450	0.77722
